output_type	ontology_curie	max_abs_raw_score	max_quantile_score	n_rows
SPLICE_SITE_USAGE	UBERON:0008450	0.9525757	0.99999	2
SPLICE_SITE_USAGE	UBERON:0036149	0.93356323	0.99999	2
SPLICE_SITE_USAGE	UBERON:0008952	0.92523193	0.99999	2
SPLICE_SITE_USAGE	UBERON:0008367	0.93344116	0.99999	2
SPLICE_SITE_USAGE	UBERON:0007610	0.9381256	0.99999	1
SPLICE_SITE_USAGE	UBERON:0007106	0.9322815	0.99999	1
SPLICE_SITE_USAGE	UBERON:0006920	0.94584656	0.99999	2
SPLICE_SITE_USAGE	UBERON:0006631	0.95355225	0.99999	2
SPLICE_JUNCTIONS	CL:0000594	5.9960938	0.99999	4
SPLICE_JUNCTIONS	CL:0000623	4.875	0.99999	8
SPLICE_JUNCTIONS	CL:0000624	5.3242188	0.99999	8
SPLICE_JUNCTIONS	CL:0000625	5.2265625	0.99999	8
SPLICE_JUNCTIONS	CL:0000650	5.8007812	0.99999	4
SPLICE_JUNCTIONS	CL:0000679	4.9296875	0.99999	4
SPLICE_JUNCTIONS	CL:0000746	5.3671875	0.99999	8
SPLICE_JUNCTIONS	CL:0000788	4.984375	0.99999	4
SPLICE_JUNCTIONS	CL:0000792	5.3203125	0.99999	4
SPLICE_JUNCTIONS	CL:0000823	5.3945312	0.99999	4
SPLICE_JUNCTIONS	CL:0000837	4.96875	0.99999	4
SPLICE_JUNCTIONS	CL:0000842	4.453125	0.99999	4
SPLICE_JUNCTIONS	CL:0000895	5.3945312	0.99999	8
SPLICE_JUNCTIONS	CL:0000897	5.609375	0.99999	8
SPLICE_JUNCTIONS	CL:0000121	5.0898438	0.99999	4
SPLICE_JUNCTIONS	CL:0000127	6.1210938	0.99999	4
SPLICE_SITE_USAGE	UBERON:0002167	0.90945435	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002168	0.9389343	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002170	0.93922424	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002171	0.93518066	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002190	0.9337921	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002240	0.934021	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002245	0.9065552	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002324	0.91537476	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002331	0.7803116	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002367	0.94039917	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002021	0.90667725	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002037	0.902771	0.99999	3
SPLICE_SITE_USAGE	UBERON:0002038	0.9185028	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002046	0.92562866	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002048	0.91363525	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002078	0.94400024	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002079	0.94573975	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002080	0.9437256	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002084	0.9580536	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002097	0.9141388	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002099	0.9390869	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002106	0.9289856	0.99999	3
SPLICE_SITE_USAGE	UBERON:0002107	0.9645386	0.99999	2
SPLICE_SITE_USAGE	UBERON:0002108	0.9495239	0.99999	1
SPLICE_SITE_USAGE	UBERON:0002113	0.9419403	0.99999	2
SPLICE_SITE_USAGE	UBERON:0001515	0.87602234	0.99999	1
SPLICE_SITE_USAGE	UBERON:0001621	0.9341278	0.99999	1
SPLICE_SITE_USAGE	UBERON:0001723	0.92297363	0.99999	1
SPLICE_SITE_USAGE	UBERON:0001774	0.9338989	0.99999	1
